                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.39721,                0.33489,                0.91397,                0.98715,                      1,                  0.995,                0.96083,                0.27146,                0.20447,                0.79177,               0.000115,               0.000115,               0.000115
                     79,                0.39075,                0.48203,                 0.8939,                0.98526,                      1,                  0.995,                0.96016,                0.26452,                0.19126,                 0.7906,                0.00011,                0.00011,                0.00011
                     80,                 0.3889,                0.30639,                0.91012,                0.98365,                      1,                  0.995,                0.95786,                0.26135,                0.19255,                0.79104,               0.000105,               0.000105,               0.000105
                     81,                0.37351,                0.30366,                0.90096,                0.98503,                      1,                  0.995,                0.95573,                0.26396,                0.19229,                0.79116,                 0.0001,                 0.0001,                 0.0001
                     82,                0.36737,                0.29262,                0.92199,                0.98702,                      1,                  0.995,                0.95203,                0.28086,                0.19348,                0.79278,                9.5e-05,                9.5e-05,                9.5e-05
                     83,                0.38572,                0.31346,                 0.9287,                0.98929,                      1,                  0.995,                0.95084,                0.28564,                0.19573,                0.79301,                  9e-05,                  9e-05,                  9e-05
                     84,                0.36557,                0.29052,                0.89746,                 0.9912,                      1,                  0.995,                0.96091,                0.26465,                0.19256,                0.78774,                8.5e-05,                8.5e-05,                8.5e-05
                     85,                0.35392,                0.28467,                0.88924,                0.99273,                      1,                  0.995,                0.97037,                0.25869,                0.19246,                0.78622,                  8e-05,                  8e-05,                  8e-05
                     86,                0.35552,                0.39882,                0.87242,                 0.9925,                      1,                  0.995,                0.97073,                0.26015,                0.18804,                0.78566,                7.5e-05,                7.5e-05,                7.5e-05
                     87,                0.37862,                0.28953,                0.90721,                0.99056,                      1,                  0.995,                0.96895,                0.25423,                0.18634,                0.78335,                  7e-05,                  7e-05,                  7e-05
                     88,                0.33217,                0.26255,                0.90258,                0.98981,                      1,                  0.995,                0.97544,                  0.254,                0.18538,                 0.7835,                6.5e-05,                6.5e-05,                6.5e-05
                     89,                0.34822,                0.26673,                 0.8918,                0.98917,                      1,                  0.995,                0.96948,                0.24793,                 0.1832,                0.78356,                  6e-05,                  6e-05,                  6e-05
                     90,                0.30699,                0.23682,                0.84909,                0.98338,                      1,                  0.995,                0.96512,                0.24707,                0.18388,                0.78475,                5.5e-05,                5.5e-05,                5.5e-05
                     91,                0.30504,                0.23869,                0.84631,                0.98265,                      1,                  0.995,                 0.9656,                0.24814,                0.18844,                0.78585,                  5e-05,                  5e-05,                  5e-05
                     92,                0.28684,                 0.2268,                0.84087,                0.98437,                      1,                  0.995,                0.96435,                0.25255,                0.18493,                0.78583,                4.5e-05,                4.5e-05,                4.5e-05
                     93,                0.28476,                0.22888,                0.84808,                0.98511,                      1,                  0.995,                0.96149,                0.26388,                0.18386,                0.78672,                  4e-05,                  4e-05,                  4e-05
                     94,                 0.2947,                0.23328,                0.83411,                0.98555,                      1,                  0.995,                0.95684,                0.26888,                0.18142,                0.78719,                3.5e-05,                3.5e-05,                3.5e-05
                     95,                0.30442,                0.24034,                0.83975,                0.98513,                      1,                  0.995,                0.96123,                0.25837,                0.17868,                0.78466,                  3e-05,                  3e-05,                  3e-05
                     96,                0.25775,                0.20832,                0.81202,                0.98333,                      1,                  0.995,                0.96027,                0.24587,                0.17542,                0.78169,                2.5e-05,                2.5e-05,                2.5e-05
                     97,                0.26059,                0.21504,                0.81721,                0.98398,                      1,                  0.995,                0.96961,                0.24077,                0.17136,                0.78062,                  2e-05,                  2e-05,                  2e-05
                     98,                0.25913,                0.20978,                0.80688,                0.98339,                      1,                  0.995,                0.96815,                0.23847,                0.16984,                0.78005,                1.5e-05,                1.5e-05,                1.5e-05
                     99,                0.27196,                0.22639,                0.84527,                0.98531,                      1,                  0.995,                0.96845,                0.24159,                0.16822,                 0.7807,                  1e-05,                  1e-05,                  1e-05
